gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000041528	97	0.1923166513442979	0.2701660051547901	0.999343295829285	1.0	ENSMUSG00000041528
ENSMUSG00000006498	136	0.1157687712460749	0.175934280684582	0.9993511224842654	1.0	ENSMUSG00000006498
ENSMUSG00000035459	89	-0.1716995771974318	-0.2289383341421167	0.9993737635235778	1.0	ENSMUSG00000035459
ENSMUSG00000025204	90	-0.083509973436594	-0.1206508916599331	0.99938444020317	1.0	ENSMUSG00000025204
ENSMUSG00000103738	92	0.2913468232378363	0.3342760742896917	0.9993989285768068	1.0	ENSMUSG00000103738
ENSMUSG00000058881	87	0.0009915754199032	0.001503371090161	0.999403947168484	1.0	ENSMUSG00000058881
ENSMUSG00000070661	93	0.1718273960053918	0.2598650519634368	0.9994062286702968	1.0	ENSMUSG00000070661
ENSMUSG00000040097	99	-0.0767547443509103	-0.1444197003180628	0.9994117267222484	1.0	ENSMUSG00000040097
ENSMUSG00000107689	86	0.0023016661405579	0.003996306442086	0.9994144897390186	1.0	ENSMUSG00000107689
ENSMUSG00000032786	98	0.0018649265170089	0.0024768498443528	0.999417570390299	1.0	ENSMUSG00000032786
ENSMUSG00000070368	111	0.119068916141988	0.1597917605981847	0.999426631431042	1.0	ENSMUSG00000070368
ENSMUSG00000056257	322	0.0184057192411269	0.0296331297384014	0.9994293861861776	1.0	ENSMUSG00000056257
ENSMUSG00000078670	82	-0.1912233088165523	-0.2646443274898201	0.9994317179543596	1.0	ENSMUSG00000078670
ENSMUSG00000029602	81	0.0582089722156525	0.1233934427018659	0.999441696948817	1.0	ENSMUSG00000029602
ENSMUSG00000030122	87	-0.0101579837501032	-0.0135017427536343	0.9994709946964928	1.0	ENSMUSG00000030122
ENSMUSG00000029575	96	-0.110270387865603	-0.1858609869444065	0.999471255134681	1.0	ENSMUSG00000029575
ENSMUSG00000018861	110	0.0186151444911952	0.0384483510329425	0.9994816646257182	1.0	ENSMUSG00000018861
ENSMUSG00000005220	204	-0.111635851860047	-0.1926591994893242	0.9994939885879018	1.0	ENSMUSG00000005220
ENSMUSG00000046699	184	-0.0280248869210485	-0.0514744333014959	0.9994974644757524	1.0	ENSMUSG00000046699
ENSMUSG00000070392	85	0.0575545154511915	0.0804799684907682	0.9994989079954048	1.0	ENSMUSG00000070392
ENSMUSG00000035206	93	-0.0309050500392929	-0.0461306983112144	0.9995022397459294	1.0	ENSMUSG00000035206
ENSMUSG00000024552	88	-0.0951832316815854	-0.1588336867306123	0.9995041502951846	1.0	ENSMUSG00000024552
ENSMUSG00000046082	81	0.0409302771091465	0.0603150829101577	0.999504206872333	1.0	ENSMUSG00000046082
ENSMUSG00000085541	106	-0.1371335655450811	-0.1819843109996141	0.999504799677036	1.0	ENSMUSG00000085541
ENSMUSG00000008036	91	0.0263870060443878	0.037257742251874	0.9995133082330264	1.0	ENSMUSG00000008036
ENSMUSG00000034032	97	0.1203823400661339	0.147156124906894	0.9995198881228586	1.0	ENSMUSG00000034032
ENSMUSG00000097140	322	0.1662305785343056	0.2325024185821532	0.9995232240393788	1.0	ENSMUSG00000097140
ENSMUSG00000007892	89	-0.0563062906265256	-0.0846755562849409	0.9995239635934487	1.0	ENSMUSG00000007892
ENSMUSG00000097324	81	-0.1003693997859944	-0.1442535546209629	0.9995298783051456	1.0	ENSMUSG00000097324
ENSMUSG00000120224	99	-0.1297756910324088	-0.2301014335785809	0.9995302554957688	1.0	ENSMUSG00000120224
ENSMUSG00000032114	90	0.0214648008346537	0.0273282589452319	0.9995457074800032	1.0	ENSMUSG00000032114
ENSMUSG00000056648	170	0.0671283104456955	0.0949275156456935	0.9995470580029748	1.0	ENSMUSG00000056648
ENSMUSG00000065947	112	-0.0556577600538722	-0.080185724500396	0.9995572238150924	1.0	ENSMUSG00000065947
ENSMUSG00000067736	203	-0.1487198077142237	-0.2866173091965773	0.9995623011690444	1.0	ENSMUSG00000067736
