rank	gene	degree
468	ENSMUSG00000038146	98
469	ENSMUSG00000121782	98
470	ENSMUSG00000064945	98
471	ENSMUSG00000010064	98
472	ENSMUSG00000074896	98
473	ENSMUSG00000023013	98
474	ENSMUSG00002076601	98
475	ENSMUSG00002075931	98
476	ENSMUSG00000019874	98
477	ENSMUSG00000065176	98
478	ENSMUSG00000038738	98
479	ENSMUSG00000046574	97
480	ENSMUSG00000110928	97
481	ENSMUSG00000064841	97
482	ENSMUSG00000028937	97
483	ENSMUSG00000025089	97
484	ENSMUSG00000026864	97
485	ENSMUSG00000029778	97
486	ENSMUSG00000052562	97
487	ENSMUSG00000120623	97
488	ENSMUSG00000084174	97
489	ENSMUSG00000065701	97
490	ENSMUSG00000050074	97
491	ENSMUSG00000060317	97
492	ENSMUSG00000069300	97
493	ENSMUSG00000089665	97
494	ENSMUSG00000026768	97
495	ENSMUSG00000053862	97
496	ENSMUSG00000043681	97
497	ENSMUSG00000020182	97
498	ENSMUSG00000114860	97
499	ENSMUSG00000088835	97
500	ENSMUSG00000119892	97
501	ENSMUSG00000034892	96
502	ENSMUSG00000118718	96
503	ENSMUSG00000021453	96
504	ENSMUSG00000020593	96
505	ENSMUSG00000029445	96
506	ENSMUSG00000059201	96
507	ENSMUSG00000069919	96
508	ENSMUSG00000028339	96
509	ENSMUSG00000042766	96
510	ENSMUSG00000120174	96
511	ENSMUSG00000031375	96
512	ENSMUSG00000085087	96
513	ENSMUSG00000109628	96
514	ENSMUSG00000025511	95
515	ENSMUSG00000090958	95
516	ENSMUSG00000053580	95
517	ENSMUSG00000005716	95
518	ENSMUSG00000002910	95
519	ENSMUSG00000038508	95
520	ENSMUSG00000044254	95
521	ENSMUSG00000103313	95
522	ENSMUSG00000079495	95
523	ENSMUSG00000037892	95
524	ENSMUSG00000020609	95
525	ENSMUSG00000055254	95
526	ENSMUSG00000021614	95
527	ENSMUSG00000119476	95
528	ENSMUSG00000032978	95
529	ENSMUSG00000065016	95
530	ENSMUSG00000057137	95
531	ENSMUSG00000114206	94
532	ENSMUSG00000029093	94
533	ENSMUSG00000077167	94
534	ENSMUSG00000036040	94
535	ENSMUSG00000026188	94
536	ENSMUSG00000001095	94
537	ENSMUSG00000017688	94
538	ENSMUSG00000050071	94
539	ENSMUSG00000109314	94
540	ENSMUSG00000090877	94
541	ENSMUSG00000078650	94
542	ENSMUSG00000062727	94
543	ENSMUSG00000043770	94
544	ENSMUSG00000025082	94
545	ENSMUSG00000033676	94
546	ENSMUSG00000068086	94
547	ENSMUSG00000029830	93
548	ENSMUSG00000056313	93
549	ENSMUSG00000049303	93
550	ENSMUSG00000109378	93
551	ENSMUSG00000068240	93
552	ENSMUSG00000026574	93
553	ENSMUSG00000022769	93
554	ENSMUSG00000104388	93
555	ENSMUSG00000026725	93
556	ENSMUSG00000061808	93
557	ENSMUSG00000040740	93
558	ENSMUSG00000088948	93
559	ENSMUSG00000035459	93
560	ENSMUSG00000024640	93
561	ENSMUSG00000026417	93
562	ENSMUSG00000116993	93
563	ENSMUSG00000028712	92
564	ENSMUSG00000119662	92
565	ENSMUSG00000100755	92
566	ENSMUSG00000112637	92
567	ENSMUSG00000121494	92
568	ENSMUSG00000084106	92
569	ENSMUSG00000023915	92
